1117, 912
1115, 908
1113, 902
1111, 895
1109, 885
1106, 876
1102, 868
1096, 860
1093, 852
1092, 842
1090, 826
1099, 820
1105, 813
1116, 817
1125, 816
1134, 812
1145, 809
1152, 811
1165, 815
1164, 800
1162, 789
1146, 784
1142, 781
1139, 744
1139, 729
1139, 719
1135, 708
1145, 704
1145, 692
1140, 688
1132, 671
1128, 664
1116, 648
1110, 642
1097, 632
1085, 629
1080, 640
1072, 651
1068, 659
1056, 675
1041, 676
1031, 686
1028, 668
1012, 667
974, 667
974, 646
974, 576
1029, 576
1029, 540
1040, 540
1047, 543
1053, 554
1065, 554
1080, 536
1096, 537
1106, 549
1117, 560
1129, 556
1136, 548
1146, 554
1155, 560
1172, 564
1193, 570
1208, 581
1217, 595
1232, 606
1245, 616
1263, 628
1316, 628
1322, 648
1343, 653
1344, 670
1353, 685
1362, 702
1382, 723
1395, 731
1388, 738
1391, 746
1408, 751
1408, 761
1416, 772
1422, 778
1432, 787
1436, 794
1444, 804
1450, 817
1458, 837
1467, 847
1471, 866
1478, 875
1477, 884
1471, 890
1470, 895
1468, 914
1457, 930
1451, 942
1433, 954
1433, 968
1417, 977
1412, 978
1394, 978
1387, 984
1371, 983
1354, 978
1344, 978
1335, 972
1326, 969
1314, 969
1313, 963
1306, 956
1303, 949
1303, 945
1303, 930
1296, 933
1288, 936
1283, 938
1274, 937
1256, 937
1256, 933
1244, 932
1236, 929
1231, 923
1216, 916
1221, 913
1231, 913
1231, 903
1222, 901
1220, 894
1212, 890
1195, 884
1192, 878
1186, 872
1176, 875
1161, 875
1155, 886
1147, 890
1143, 905
1140, 917
1134, 920
1128, 917
1118, 913
